category_path,product_count,avg_base_price,products_with_images,products_with_videos,sample_tags
Health & Beauty > Health & Wellness > First Aid & Medical Devices,59,1359.56,59,51,"wellness, first aid, medical devices, sterile, medical, reliable, nebulizer, relief, professional, blood"
Books & Stationery > Art & Craft Materials,56,830.34,56,15,"books, stationery, art, craft materials, writing, learning, book, reusable, acrylic, drawing"
Travel & Outdoor,56,2657.84,56,33,"travel, outdoor, tumbler, stanley, 40oz, stay, quencher, flowstate, hydrated, steel"
Travel & Outdoor > Sports Equipment,54,1438.41,54,11,"travel, outdoor, sports equipment, helmet, sports, black, bike, visor, double, summer"
Automotive > Vehicle Cleaning Supplies,53,909.68,53,33,"vehicle cleaning supplies, spray, cleaning, long-lasting, cleaner, three, guys, universal, shine, german"
Tools & DIY > Paint & Renovation,53,751.83,53,8,"diy, paint, renovation, wood, multi-purpose, dolphin, spray, high-quality, 300ml, finish"
Fashion & Apparel > Women's Fashion > Dresses & Maxi Dresses,52,1692.88,52,13,"women's fashion, dresses, maxi dresses, silk, sleepwear, lace, luxury, satin, black, dress"
Health & Beauty > Skincare,51,755.45,51,19,"skincare, skin, serum, 30ml, brightening, face, formula, radiant, vitamin, glow"
Fashion & Apparel > Men's Fashion > Pajamas & Night Suits,40,1776.72,40,0,"men's fashion, pajamas, night suits, satin, bikini, sleepwear, robe, camisole, dress, halter"
Home & Living > Home Decor > Clocks & Mirrors,40,717.73,40,3,"living, home decor, clocks, mirrors, clock, bedroom, decoration, light, acrylic, mirror"
Electronics & Appliances > Mobile & Accessories > Smartwatches & Fitness Bands,39,2383.77,39,2,"mobile, smartwatches, fitness bands, watch, ultra, chain, strap, bracelet, display, citizen"
Health & Beauty > Haircare > Hair Color & Dyes,36,1985.86,36,17,"haircare, hair color, dyes, hair, application, cream, professional, natural, formula, rich"
Health & Beauty > Haircare > Shampoos & Conditioners,35,1105.54,35,12,"haircare, shampoos, conditioners, shampoo, hair, formula, nourishing, strengthening, natural, anti"
Tools & DIY > Paint & Renovation > Paints & Brushes,35,894.69,35,1,"diy, paint, renovation, paints, brushes, spray, finish, wood, tiger, multi-purpose"
Electronics & Appliances,34,1533.12,34,24,"rechargeable, electric, light, hair, compact, handheld, stand, lamp, professional, speed"
Fashion & Apparel > Men's Fashion > Vests & Undergarments,34,985.12,34,11,"men's fashion, vests, undergarments, vest, shaper, fabric, sleeveless, wear, stretchable, fresh"
Baby & Kids Accessories > Safety & Care > Feeding Bottles & Accessories,32,274.09,32,2,"kids accessories, safety, feeding bottles, feeder, food, pacifier, safe, fruit, feeding, fresh"
Groceries,31,1031.06,31,17,"groceries, natural, taste, fresh, organic, seeds, powder, snack, crunchy, strawberry"
Health & Beauty,29,1328.55,29,5,"hair, growth, massager, head, skin, massage, electric, sunisa, foundation, base"
Electronics & Appliances > Mobile & Accessories > Mobile Covers & Screen Protectors,28,568.54,28,13,"mobile, mobile covers, screen protectors, phone, protection, grip, side, suction, holder, square"
Health & Beauty > Haircare > Hair Oils & Masks,28,815.5,28,10,"haircare, hair oils, masks, hair, formula, growth, healthy, spray, natural, treatment"
Events & Gifting > Party Decorations,27,1210.44,27,2,"events, gifting, party decorations, candle, handmade, gram, acrylic, ring, mirror, surface"
Women's Fashion > Sunglasses & Watches,27,3177.93,27,1,"women's fashion, sunglasses, watches, watch, without, quartz, analog, digital, boys, square"
Fashion & Apparel > Women's Fashion > Hijabs & Scarves (Chiffon),26,897.81,25,7,"women's fashion, hijabs, scarves (chiffon), fabric, niqab, scarves, islamic, safety, accessory, branded"
Health & Beauty > Beauty & Cosmetics > Lip Products (Lipstick),24,885.04,24,8,"cosmetics, lip products (lipstick), lipstick, shades, long-lasting, pigmented, texture, matte, vibrant, rich"
Tools & DIY > Electrical Supplies,24,1418.71,24,10,"diy, electrical supplies, electrical, voltage, tester, professional, light, rechargeable, lights, wire"
Health & Beauty > Health & Wellness > Herbal & Ayurvedic Products,23,467.09,23,12,"wellness, herbal, ayurvedic products, weight, formula, natural, powder, solution, energy, supplement"
Toys & Games > Educational & Creative,23,1523.87,23,19,"games, educational, creative, learning, cartoon, book, magic, travel, writing, stainless"
Tools & DIY > Plumbing Fixtures,22,775.68,22,7,"diy, plumbing fixtures, tape, repair, window, meter, self-adhesive, strong, mesh, roll"
Events & Gifting,21,812.1,21,7,"events, gifting, bedroom, room, islamic, calligraphy, canvas, frame, arabic, wall art"
Fashion & Apparel > Women's Fashion > Nightwear & Robes,21,1172.19,21,1,"women's fashion, nightwear, robes, black, block, heel, sandals, sparkling, rhinestone, straps"
Health & Beauty > Health & Wellness > Vitamins & Supplements,20,2216.8,20,6,"wellness, vitamins, supplements, mass, muscle, gainer, supplement, weight, high-calorie, protein"
Islamic & Cultural,20,477.55,20,11,"islamic, cultural, frames, wooden, wall art, phototile, motivational, 8x11, sticky, tape"
Health & Beauty > Haircare > Hair Styling Tools,19,964.26,19,14,"haircare, hair styling tools, hair, comb, safe, straightener, curler, styling, brush, dryer"
Automotive > Vehicle Cleaning Supplies > Polish & Wax,18,816.28,18,18,"vehicle cleaning supplies, polish, wax, three, guys, wash, shampoo, foam, shine, cleaning"
Health & Beauty > Beauty & Cosmetics > Eye Makeup (Eyeshadow),18,555.94,18,15,"cosmetics, eye makeup (eyeshadow), eyeshadow, jelly, stick, shade, makeup, glitter, miss, works"
Women's Fashion > Shalwar Kameez Sets (Unstitched),18,4119.89,18,1,"women's fashion, shalwar kameez sets (unstitched), lawn, unstitched, embroidered, chiffon, dupatta, print, suit, all-over"
Tools & DIY > Hand Tools,17,701.24,17,7,"diy, hand tools, hand, plier, foam, buttons, snap, heavy, press, button"
Health & Beauty > Haircare,16,568.94,16,12,"haircare, hair, coloring, treatment, safe, effective, growth, comb, formula, strengthens"
